product_id,category,subcategory,brand,unit_price,unit_cost,is_discountable
P0213,Electronics,Accessories,Aster,306.46,145.62,1
P0214,Grocery,Snacks,Atlas,4.08,2.67,0
P0215,Home,Kitchen,Kite,96.3,71.71,1
P0216,Clothing,Women,Pine,32.18,21.56,0
P0217,Sports,Shoes,Pine,137.44,86.63,1
P0218,Grocery,Beverages,Zenith,11.87,6.5,1
P0219,Electronics,Mobile,Zenith,571.62,274.91,1
P0220,Clothing,Footwear,Aster,62.53,46.5,1
P0221,Beauty,Skincare,Zenith,39.21,20.05,1
P0222,Clothing,Kids,Kite,31.52,14.89,1
P0223,Clothing,Men,Atlas,120.0,76.71,1
P0224,Grocery,Pantry,Pine,8.81,5.79,0
P0225,Beauty,Fragrance,Nimbus,16.93,12.32,0
P0226,Clothing,Men,Pine,77.37,44.8,1
P0227,Grocery,Pantry,Pine,5.07,3.12,1
P0228,Home,Decor,Kite,120.79,79.86,1
P0229,Grocery,Pantry,Zenith,3.32,2.16,1
P0230,Grocery,Snacks,Nimbus,15.0,9.12,0
P0231,Beauty,Makeup,Kite,30.19,19.13,0
P0232,Clothing,Kids,Aster,36.78,26.91,0
P0233,Home,Cleaning,Atlas,176.43,99.17,0
P0234,Grocery,Pantry,Orchid,15.0,9.57,1
P0235,Beauty,Haircare,Pine,33.77,24.71,0
P0236,Grocery,Pantry,Orchid,12.28,8.2,1
P0237,Electronics,Audio,Atlas,289.6,188.1,1
P0238,Sports,Shoes,Atlas,139.43,93.81,1
P0239,Beauty,Makeup,Kite,39.41,27.39,1
P0240,Clothing,Women,Kite,75.39,43.84,1
P0241,Electronics,Audio,Kite,528.95,344.45,1
P0242,Beauty,Fragrance,Orchid,14.05,7.18,1
P0243,Clothing,Men,Kite,37.47,19.28,1
P0244,Home,Furniture,Atlas,45.22,28.42,1
P0245,Home,Decor,Aster,193.77,109.48,1
P0246,Grocery,Pantry,Kite,6.87,3.67,1
P0247,Grocery,Pantry,Nova,9.89,5.2,1
P0248,Home,Decor,Zenith,32.31,17.37,1
P0249,Grocery,Pantry,Orchid,3.87,2.67,1
P0250,Grocery,Beverages,Nova,6.84,4.86,1
