customer_id,gender,age,join_date,loyalty_tier,region,city,preferred_channel
C00105,F,33,2023-08-04,Bronze,South,Southport,Mobile
C00106,M,40,2025-06-14,Silver,Central,Centrum,InStore
C00107,M,58,2025-01-07,Bronze,North,Winterton,Mobile
C00108,M,37,2023-10-30,Gold,South,Southport,InStore
C00109,F,38,2024-06-02,Platinum,South,Baytown,InStore
C00110,F,34,2024-04-14,Platinum,North,Frostford,Online
C00111,F,18,2024-11-12,Silver,East,Easton,InStore
C00112,F,35,2025-04-18,Gold,West,Hillcrest,InStore
C00113,O,36,2024-10-11,Gold,East,Lakeview,InStore
C00114,F,65,2024-04-04,Bronze,North,Winterton,Online
C00115,M,33,2024-06-14,Gold,South,Sunvale,Online
C00116,M,39,2023-12-17,Bronze,North,Frostford,InStore
C00117,M,35,2024-02-13,Silver,Central,Midtown,Online
C00118,M,21,2024-07-01,Bronze,North,Frostford,Online
C00119,F,49,2025-02-09,Bronze,East,Rivermouth,InStore
C00120,F,44,2025-04-25,Bronze,Central,Grandview,InStore
C00121,M,44,2025-03-26,Silver,East,Easton,InStore
C00122,F,24,2024-06-02,Bronze,Central,Grandview,InStore
C00123,F,52,2025-06-08,Silver,South,Baytown,Online
C00124,F,18,2024-03-21,Bronze,West,Oakridge,InStore
C00125,F,42,2024-03-06,Bronze,East,Lakeview,InStore
C00126,F,61,2023-12-16,Silver,West,Hillcrest,Online
C00127,F,23,2025-02-02,Gold,North,Northville,InStore
C00128,M,28,2025-02-09,Bronze,North,Frostford,InStore
C00129,M,36,2023-12-12,Silver,North,Winterton,InStore
C00130,M,29,2025-05-25,Gold,West,Westhaven,Mobile
C00131,F,18,2025-03-16,Silver,Central,Centrum,InStore
C00132,F,36,2023-08-10,Bronze,West,Westhaven,Online
C00133,F,22,2025-05-22,Bronze,North,Northville,InStore
C00134,M,41,2024-12-29,Gold,Central,Grandview,InStore
C00135,M,24,2024-05-31,Bronze,South,Baytown,Online
C00136,F,54,2024-11-22,Gold,South,Sunvale,Mobile
C00137,M,26,2023-10-08,Silver,North,Winterton,Online
C00138,F,31,2025-02-20,Platinum,West,Hillcrest,Online
C00139,M,45,2025-01-21,Gold,North,Northville,Mobile
C00140,M,20,2024-11-30,Platinum,East,Easton,InStore
C00141,M,38,2024-11-10,Bronze,Central,Grandview,InStore
C00142,M,51,2023-09-14,Gold,North,Northville,Online
C00143,M,18,2023-11-23,Bronze,East,Easton,InStore
C00144,F,37,2025-06-24,Silver,South,Southport,Online
C00145,M,38,2025-04-20,Silver,South,Sunvale,Mobile
C00146,F,44,2024-02-27,Gold,East,Rivermouth,InStore
C00147,M,20,2024-10-23,Platinum,South,Baytown,InStore
C00148,M,19,2024-11-15,Gold,West,Westhaven,Online
C00149,M,41,2024-01-31,Bronze,East,Easton,InStore
C00150,F,39,2025-01-10,Bronze,East,Lakeview,Online
C00151,M,38,2023-09-19,Silver,West,Westhaven,InStore
C00152,M,39,2025-01-16,Bronze,East,Easton,Online
C00153,M,27,2025-01-14,Bronze,East,Rivermouth,InStore
C00154,F,38,2024-06-05,Bronze,East,Lakeview,Online
C00155,F,39,2023-10-08,Bronze,South,Baytown,InStore
C00156,F,26,2024-12-21,Bronze,South,Baytown,InStore
C00157,F,57,2024-02-02,Bronze,Central,Grandview,InStore
C00158,M,41,2025-06-04,Bronze,East,Rivermouth,Online
C00159,F,21,2025-01-19,Bronze,South,Sunvale,Online
C00160,M,43,2024-05-07,Platinum,East,Easton,InStore
C00161,F,23,2024-07-29,Bronze,South,Southport,InStore
C00162,F,44,2023-09-24,Bronze,Central,Centrum,InStore
C00163,M,49,2024-02-23,Silver,North,Northville,Online
C00164,M,25,2024-07-03,Bronze,South,Sunvale,InStore
C00165,M,47,2024-07-26,Platinum,South,Baytown,Online
C00166,M,40,2024-02-19,Gold,East,Rivermouth,InStore
C00167,M,45,2023-09-15,Bronze,Central,Centrum,InStore
C00168,F,58,2024-02-08,Bronze,North,Winterton,InStore
C00169,O,32,2024-08-10,Gold,Central,Grandview,InStore
C00170,M,26,2024-11-28,Platinum,North,Frostford,Mobile
C00171,M,24,2024-09-05,Silver,Central,Midtown,InStore
C00172,F,25,2025-02-21,Silver,North,Winterton,Online
C00173,M,34,2025-04-24,Bronze,North,Winterton,InStore
C00174,F,39,2024-10-24,Platinum,West,Westhaven,InStore
C00175,F,38,2024-05-14,Bronze,Central,Midtown,Online
C00176,F,45,2024-04-14,Platinum,Central,Midtown,Online
C00177,F,35,2025-01-02,Silver,East,Rivermouth,Mobile
C00178,M,52,2025-01-17,Silver,Central,Grandview,InStore
C00179,M,32,2025-04-03,Silver,North,Frostford,InStore
C00180,M,68,2024-01-19,Bronze,Central,Centrum,Online
C00181,F,43,2025-05-25,Bronze,East,Easton,InStore
C00182,F,25,2025-02-27,Bronze,West,Oakridge,InStore
C00183,F,22,2024-04-08,Bronze,Central,Grandview,InStore
C00184,O,41,2025-01-11,Gold,West,Oakridge,InStore
C00185,F,32,2023-09-19,Bronze,East,Rivermouth,Mobile
C00186,M,44,2024-11-25,Bronze,East,Rivermouth,InStore
C00187,M,41,2023-10-04,Platinum,Central,Grandview,InStore
C00188,F,34,2025-05-06,Gold,North,Winterton,InStore
C00189,M,25,2023-09-12,Gold,Central,Midtown,InStore
C00190,F,18,2024-03-14,Platinum,West,Westhaven,InStore
C00191,M,30,2024-04-03,Bronze,North,Frostford,InStore
C00192,M,45,2024-07-07,Bronze,West,Oakridge,InStore
C00193,F,38,2025-07-02,Gold,East,Rivermouth,Online
C00194,F,20,2024-06-11,Silver,West,Oakridge,InStore
C00195,M,37,2024-07-20,Bronze,West,Westhaven,InStore
C00196,M,40,2024-12-25,Gold,North,Northville,Mobile
C00197,F,24,2024-02-14,Bronze,East,Easton,Online
C00198,M,37,2024-12-24,Bronze,Central,Grandview,InStore
C00199,M,36,2024-02-11,Silver,South,Baytown,InStore
C00200,M,21,2024-06-29,Silver,East,Lakeview,InStore
C00201,F,39,2024-05-20,Silver,South,Baytown,Online
C00202,M,42,2025-03-08,Bronze,East,Lakeview,Mobile
C00203,M,48,2025-02-19,Gold,East,Easton,Online
C00204,F,48,2025-05-06,Bronze,East,Rivermouth,InStore
C00205,F,18,2023-12-25,Bronze,North,Northville,Online
C00206,M,24,2023-08-18,Gold,West,Oakridge,InStore
C00207,F,41,2023-08-31,Platinum,North,Northville,InStore
C00208,M,41,2025-01-11,Gold,North,Frostford,Online
C00209,M,41,2025-02-04,Gold,North,Frostford,Mobile
C00210,F,75,2025-04-14,Silver,North,Northville,InStore
C00211,M,42,2024-12-02,Silver,East,Lakeview,Online
C00212,F,49,2024-12-12,Bronze,East,Rivermouth,InStore
C00213,M,46,2024-11-16,Bronze,West,Oakridge,InStore
C00214,F,43,2023-08-27,Bronze,North,Winterton,InStore
C00215,M,31,2024-11-18,Bronze,Central,Midtown,InStore
C00216,F,44,2023-09-13,Silver,West,Oakridge,Online
C00217,F,26,2024-01-18,Silver,South,Southport,InStore
C00218,M,32,2024-04-18,Bronze,Central,Midtown,Online
C00219,F,29,2024-05-27,Bronze,Central,Centrum,Online
C00220,M,36,2025-05-17,Silver,North,Winterton,Mobile
C00221,F,63,2024-11-12,Bronze,South,Baytown,InStore
C00222,M,18,2024-09-01,Gold,Central,Grandview,InStore
C00223,F,43,2024-01-24,Silver,West,Hillcrest,InStore
C00224,M,18,2025-02-10,Silver,North,Frostford,Mobile
C00225,F,29,2024-05-14,Silver,West,Hillcrest,Mobile
C00226,F,48,2024-02-06,Gold,Central,Grandview,Online
C00227,F,36,2024-06-25,Bronze,West,Westhaven,Online
C00228,F,22,2023-12-15,Silver,West,Oakridge,InStore
C00229,M,26,2024-10-17,Silver,Central,Centrum,Online
C00230,F,43,2023-09-16,Bronze,North,Frostford,InStore
C00231,M,26,2024-03-19,Gold,South,Southport,Online
C00232,F,38,2025-06-21,Gold,West,Oakridge,InStore
C00233,F,36,2024-08-07,Silver,Central,Centrum,Online
C00234,M,27,2024-07-10,Gold,South,Sunvale,Online
C00235,M,61,2024-05-21,Gold,East,Rivermouth,Online
C00236,F,43,2023-09-04,Silver,West,Westhaven,InStore
C00237,F,18,2024-06-25,Gold,East,Lakeview,InStore
C00238,F,37,2025-06-25,Silver,West,Westhaven,InStore
C00239,M,27,2025-03-03,Silver,Central,Grandview,InStore
C00240,M,45,2024-07-20,Silver,West,Hillcrest,InStore
C00241,F,25,2023-08-27,Gold,East,Lakeview,Mobile
C00242,M,34,2025-04-04,Bronze,East,Rivermouth,InStore
C00243,M,41,2023-09-24,Gold,East,Lakeview,InStore
C00244,M,45,2023-08-05,Gold,South,Baytown,InStore
C00245,M,21,2024-08-21,Bronze,South,Baytown,InStore
C00246,F,31,2025-01-06,Gold,East,Easton,Online
C00247,F,29,2024-01-10,Bronze,North,Northville,InStore
C00248,F,27,2025-05-23,Bronze,South,Sunvale,Mobile
C00249,F,56,2024-02-17,Silver,East,Rivermouth,InStore
C00250,M,40,2025-02-08,Bronze,East,Easton,Mobile
