transaction_id,customer_id,store_id,product_id,transaction_date,channel,quantity,discount_pct,year_month
T0031404,C00195,S015,P0142,2025-08-01,InStore,1,0.0,2025-08
T0023945,C00155,S034,P0130,2025-08-01,Online,2,0.0,2025-08
T0012529,C00063,S009,P0105,2025-08-01,Online,1,0.0,2025-08
T0023953,C00179,S020,P0141,2025-08-01,Online,1,0.0,2025-08
T0044977,C00069,S037,P0248,2025-08-01,InStore,3,0.0,2025-08
T0047726,C00107,S032,P0205,2025-08-01,Mobile,1,0.0,2025-08
T0017103,C00036,S016,P0088,2025-08-01,Online,1,0.0,2025-08
T0008946,C00078,S015,P0225,2025-08-01,InStore,1,0.0,2025-08
T0033849,C00106,S003,P0136,2025-08-01,InStore,1,0.0,2025-08
T0039149,C00117,S034,P0058,2025-08-01,InStore,1,0.0,2025-08
T0047779,C00018,S009,P0170,2025-08-01,Online,1,0.0,2025-08
T0037252,C00082,S006,P0169,2025-08-01,InStore,1,0.0,2025-08
T0020619,C00028,S029,P0169,2025-08-01,Mobile,1,0.0,2025-08
T0000776,C00221,S006,P0206,2025-08-01,InStore,1,0.0,2025-08
T0000778,C00216,S025,P0004,2025-08-01,InStore,1,0.0,2025-08
T0012506,C00237,S040,P0142,2025-08-01,InStore,2,0.0,2025-08
T0027406,C00216,S045,P0075,2025-08-01,Online,3,0.0,2025-08
T0047192,C00135,S013,P0177,2025-08-01,Online,1,0.0,2025-08
T0047195,C00047,S027,P0169,2025-08-01,InStore,2,0.0,2025-08
T0045517,C00072,S006,P0207,2025-08-01,InStore,3,0.15,2025-08
T0010950,C00095,S040,P0186,2025-08-01,Online,3,0.0,2025-08
T0031935,C00049,S034,P0196,2025-08-01,Mobile,1,0.0,2025-08
T0033426,C00184,S010,P0161,2025-08-01,InStore,1,0.0,2025-08
T0031918,C00211,S035,P0175,2025-08-01,InStore,3,0.15,2025-08
T0000862,C00160,S040,P0175,2025-08-01,Online,1,0.0,2025-08
T0023401,C00157,S008,P0117,2025-08-01,Online,1,0.0,2025-08
T0008054,C00198,S005,P0181,2025-08-01,InStore,2,0.0,2025-08
T0017019,C00090,S042,P0091,2025-08-01,Online,4,0.0,2025-08
T0021107,C00129,S043,P0098,2025-08-01,Online,1,0.0,2025-08
T0038731,C00207,S029,P0219,2025-08-01,Mobile,3,0.0,2025-08
T0001422,C00071,S002,P0142,2025-08-01,InStore,1,0.0,2025-08
T0031843,C00165,S030,P0190,2025-08-01,Online,1,0.0,2025-08
T0015749,C00153,S035,P0054,2025-08-01,InStore,1,0.1,2025-08
T0008777,C00243,S040,P0100,2025-08-01,Mobile,2,0.0,2025-08
T0013714,C00104,S035,P0025,2025-08-01,InStore,1,0.0,2025-08
T0047386,C00152,S039,P0188,2025-08-01,Online,1,0.0,2025-08
T0027878,C00061,S022,P0238,2025-08-01,Online,1,0.0,2025-08
T0031780,C00019,S030,P0043,2025-08-01,Online,1,0.0,2025-08
T0020973,C00210,S012,P0030,2025-08-01,InStore,1,0.0,2025-08
T0023555,C00139,S032,P0218,2025-08-01,Online,1,0.0,2025-08
T0045284,C00048,S037,P0091,2025-08-01,Online,2,0.25,2025-08
T0001460,C00219,S008,P0084,2025-08-01,InStore,2,0.2,2025-08
T0023576,C00039,S041,P0025,2025-08-01,InStore,1,0.0,2025-08
T0023346,C00166,S039,P0056,2025-08-01,InStore,1,0.0,2025-08
T0010808,C00243,S037,P0192,2025-08-01,Online,3,0.0,2025-08
T0044395,C00194,S018,P0101,2025-08-01,InStore,1,0.0,2025-08
T0043292,C00075,S048,P0002,2025-08-01,InStore,1,0.0,2025-08
T0017774,C00010,S001,P0157,2025-08-01,InStore,1,0.0,2025-08
T0017971,C00141,S017,P0122,2025-08-01,Online,4,0.05,2025-08
T0018116,C00085,S030,P0219,2025-08-01,Mobile,2,0.0,2025-08
T0029706,C00177,S042,P0250,2025-08-01,Mobile,4,0.0,2025-08
T0036032,C00174,S015,P0134,2025-08-01,InStore,1,0.0,2025-08
T0035346,C00176,S008,P0243,2025-08-01,InStore,1,0.05,2025-08
T0049951,C00048,S035,P0162,2025-08-01,InStore,1,0.0,2025-08
T0026808,C00016,S015,P0248,2025-08-01,InStore,1,0.0,2025-08
T0025720,C00084,S048,P0141,2025-08-01,InStore,1,0.0,2025-08
T0018043,C00212,S039,P0069,2025-08-01,InStore,2,0.05,2025-08
T0029486,C00035,S015,P0045,2025-08-01,InStore,1,0.0,2025-08
T0017584,C00114,S029,P0075,2025-08-01,Online,1,0.0,2025-08
T0017873,C00155,S030,P0164,2025-08-01,Online,3,0.0,2025-08
T0002271,C00221,S028,P0105,2025-08-01,Online,1,0.05,2025-08
T0026358,C00125,S037,P0067,2025-08-01,InStore,1,0.0,2025-08
T0002216,C00193,S024,P0036,2025-08-01,InStore,1,0.0,2025-08
T0040716,C00136,S038,P0185,2025-08-01,Mobile,1,0.0,2025-08
T0018448,C00052,S007,P0106,2025-08-01,InStore,1,0.15,2025-08
T0029852,C00169,S034,P0086,2025-08-01,InStore,2,0.0,2025-08
T0040407,C00244,S011,P0067,2025-08-01,Mobile,1,0.0,2025-08
T0000103,C00047,S023,P0130,2025-08-01,Online,4,0.15,2025-08
T0004449,C00185,S039,P0015,2025-08-01,InStore,2,0.0,2025-08
T0007082,C00095,S036,P0043,2025-08-01,InStore,3,0.0,2025-08
T0018387,C00174,S018,P0057,2025-08-01,Online,2,0.0,2025-08
T0036167,C00033,S027,P0198,2025-08-01,Online,1,0.0,2025-08
T0049521,C00139,S032,P0161,2025-08-01,InStore,1,0.0,2025-08
T0049527,C00223,S018,P0217,2025-08-01,InStore,2,0.2,2025-08
T0026180,C00107,S046,P0185,2025-08-01,InStore,1,0.0,2025-08
T0017676,C00246,S035,P0186,2025-08-01,InStore,1,0.0,2025-08
T0029926,C00019,S006,P0030,2025-08-01,InStore,2,0.15,2025-08
T0029896,C00093,S038,P0024,2025-08-01,Online,1,0.0,2025-08
T0010839,C00222,S022,P0021,2025-08-01,InStore,1,0.0,2025-08
T0018368,C00101,S016,P0081,2025-08-01,Online,1,0.0,2025-08
T0002086,C00056,S044,P0174,2025-08-01,Mobile,3,0.0,2025-08
T0042672,C00108,S038,P0133,2025-08-01,Mobile,1,0.0,2025-08
T0011816,C00006,S037,P0217,2025-08-01,Online,1,0.0,2025-08
T0018074,C00032,S017,P0061,2025-08-01,Online,1,0.2,2025-08
T0049293,C00194,S048,P0177,2025-08-01,InStore,1,0.0,2025-08
T0026778,C00180,S007,P0085,2025-08-01,InStore,2,0.0,2025-08
T0002105,C00235,S044,P0121,2025-08-01,InStore,2,0.0,2025-08
T0002081,C00194,S012,P0223,2025-08-01,InStore,1,0.0,2025-08
T0009771,C00205,S002,P0003,2025-08-01,Online,3,0.0,2025-08
T0043182,C00051,S019,P0161,2025-08-01,InStore,3,0.0,2025-08
T0026675,C00207,S047,P0188,2025-08-01,InStore,1,0.0,2025-08
T0036003,C00136,S006,P0098,2025-08-01,Mobile,3,0.0,2025-08
T0018378,C00123,S038,P0205,2025-08-01,Online,3,0.0,2025-08
T0015587,C00073,S044,P0071,2025-08-01,InStore,1,0.0,2025-08
T0025770,C00203,S049,P0042,2025-08-01,Online,1,0.0,2025-08
T0030112,C00211,S049,P0007,2025-08-01,Online,2,0.0,2025-08
T0041473,C00126,S018,P0222,2025-08-01,InStore,1,0.05,2025-08
T0025634,C00162,S009,P0129,2025-08-01,Online,1,0.1,2025-08
T0035621,C00105,S030,P0153,2025-08-01,Mobile,1,0.0,2025-08
T0011262,C00087,S007,P0119,2025-08-01,Mobile,1,0.0,2025-08
T0049419,C00153,S037,P0025,2025-08-01,InStore,1,0.0,2025-08
T0010490,C00108,S036,P0058,2025-08-01,Online,1,0.2,2025-08
T0012916,C00070,S049,P0015,2025-08-01,Online,2,0.0,2025-08
T0043280,C00140,S049,P0223,2025-08-01,Online,1,0.15,2025-08
T0036391,C00214,S041,P0115,2025-08-01,InStore,1,0.0,2025-08
T0042697,C00084,S039,P0082,2025-08-01,InStore,2,0.0,2025-08
T0017900,C00047,S039,P0142,2025-08-01,Online,1,0.0,2025-08
T0035596,C00062,S004,P0233,2025-08-01,Online,2,0.0,2025-08
T0012847,C00153,S037,P0185,2025-08-01,InStore,1,0.0,2025-08
T0042698,C00006,S012,P0238,2025-08-01,InStore,1,0.0,2025-08
T0009645,C00225,S045,P0099,2025-08-01,InStore,2,0.0,2025-08
T0017750,C00176,S001,P0011,2025-08-01,InStore,1,0.0,2025-08
T0004361,C00112,S045,P0062,2025-08-01,InStore,1,0.0,2025-08
T0049966,C00027,S032,P0141,2025-08-01,Online,1,0.0,2025-08
T0035618,C00079,S031,P0145,2025-08-01,InStore,2,0.05,2025-08
T0043026,C00187,S009,P0105,2025-08-01,InStore,2,0.0,2025-08
T0013190,C00098,S013,P0239,2025-08-01,Mobile,3,0.0,2025-08
T0004327,C00101,S028,P0033,2025-08-01,Online,1,0.0,2025-08
T0041517,C00179,S014,P0141,2025-08-01,InStore,1,0.0,2025-08
T0035361,C00017,S027,P0210,2025-08-01,InStore,3,0.1,2025-08
T0042740,C00031,S003,P0142,2025-08-01,Mobile,1,0.0,2025-08
T0011683,C00105,S011,P0004,2025-08-01,Mobile,1,0.0,2025-08
T0042851,C00176,S003,P0180,2025-08-01,InStore,1,0.0,2025-08
T0004363,C00208,S042,P0081,2025-08-01,InStore,1,0.0,2025-08
T0047085,C00008,S016,P0125,2025-08-02,Online,2,0.0,2025-08
T0029967,C00050,S013,P0242,2025-08-02,Mobile,2,0.25,2025-08
T0034121,C00073,S027,P0033,2025-08-02,Online,1,0.0,2025-08
T0034135,C00173,S031,P0050,2025-08-02,InStore,1,0.0,2025-08
T0024668,C00049,S007,P0030,2025-08-02,InStore,1,0.0,2025-08
T0012136,C00179,S050,P0187,2025-08-02,InStore,1,0.0,2025-08
T0023001,C00018,S008,P0071,2025-08-02,InStore,1,0.0,2025-08
T0029634,C00190,S010,P0057,2025-08-02,Mobile,1,0.15,2025-08
T0001758,C00119,S027,P0189,2025-08-02,InStore,2,0.0,2025-08
T0009049,C00185,S037,P0175,2025-08-02,Mobile,2,0.0,2025-08
T0048054,C00168,S047,P0149,2025-08-02,Online,1,0.0,2025-08
T0014833,C00131,S021,P0231,2025-08-02,InStore,1,0.0,2025-08
T0034046,C00129,S002,P0158,2025-08-02,InStore,2,0.0,2025-08
T0035375,C00022,S021,P0231,2025-08-02,Online,1,0.0,2025-08
T0048325,C00001,S016,P0103,2025-08-02,Mobile,1,0.0,2025-08
T0003252,C00195,S042,P0016,2025-08-02,Online,1,0.0,2025-08
T0011724,C00198,S034,P0159,2025-08-02,InStore,1,0.0,2025-08
T0049820,C00037,S030,P0198,2025-08-02,Online,1,0.3,2025-08
T0009047,C00190,S039,P0190,2025-08-02,InStore,1,0.0,2025-08
T0040325,C00226,S036,P0192,2025-08-02,InStore,1,0.0,2025-08
T0037781,C00226,S007,P0045,2025-08-02,Mobile,1,0.0,2025-08
T0039515,C00033,S035,P0133,2025-08-02,Online,1,0.0,2025-08
T0011708,C00030,S040,P0068,2025-08-02,Online,1,0.15,2025-08
T0047092,C00046,S004,P0183,2025-08-02,Mobile,1,0.0,2025-08
T0049409,C00219,S016,P0192,2025-08-02,Mobile,1,0.0,2025-08
T0028415,C00094,S017,P0121,2025-08-02,Online,1,0.0,2025-08
T0022959,C00114,S046,P0181,2025-08-02,Mobile,2,0.15,2025-08
T0031044,C00131,S007,P0142,2025-08-02,InStore,1,0.0,2025-08
T0007221,C00250,S024,P0144,2025-08-02,Mobile,1,0.0,2025-08
T0020069,C00101,S007,P0093,2025-08-02,InStore,1,0.0,2025-08
T0029304,C00036,S038,P0187,2025-08-02,InStore,1,0.0,2025-08
T0002541,C00214,S004,P0128,2025-08-02,Online,1,0.25,2025-08
T0032289,C00249,S024,P0153,2025-08-02,InStore,1,0.0,2025-08
T0041827,C00096,S007,P0193,2025-08-02,InStore,1,0.0,2025-08
T0004370,C00136,S030,P0142,2025-08-02,Online,2,0.0,2025-08
T0017149,C00202,S027,P0048,2025-08-02,InStore,1,0.0,2025-08
T0018127,C00228,S015,P0132,2025-08-02,InStore,1,0.15,2025-08
T0039475,C00161,S016,P0079,2025-08-02,Online,3,0.0,2025-08
T0014863,C00173,S016,P0084,2025-08-02,Online,2,0.05,2025-08
T0014063,C00123,S028,P0214,2025-08-02,Mobile,3,0.0,2025-08
T0041239,C00016,S018,P0034,2025-08-02,Mobile,2,0.0,2025-08
T0045731,C00096,S002,P0186,2025-08-02,InStore,2,0.0,2025-08
T0023074,C00112,S049,P0171,2025-08-02,Online,1,0.0,2025-08
T0011475,C00197,S044,P0046,2025-08-02,Online,1,0.0,2025-08
T0016971,C00076,S044,P0123,2025-08-02,Online,1,0.0,2025-08
T0027254,C00033,S023,P0120,2025-08-02,InStore,2,0.0,2025-08
